locality_name,city,zone,metro_status,nearest_metro_station,tech_park_proximity,nearest_tech_park,tech_park_km_approx,nearest_metro_line,nearest_metro_km,metro_access_sample,metro_access_verified,metro_flag_agrees,nearest_metro_station_today,nearest_metro_km_today,tech_park_band,it_park_count_5km,nearest_rail_station,rail_station_km,airport_km,school_count_2km,hospital_count_2km,retail_count_2km,latitude,longitude,distance_to_cbd_km,geo_district,geo_state,n_listings_2022,first_posted_on,last_posted_on,geocode_confidence,geocode_match_name,geocode_feature_type,geocode_query,reference_year,metro_status_asof,address
in Kandivali West,Mumbai,north,operational,Dahanukarwadi,yes,Mindspace Malad,2.4,yellow,0.54,yes,yes,True,Dahanukarwadi,0.54,0-3km,1.0,Kandivali,1.25,13.05,25.0,98.0,10.0,19.2055321,72.8399273,29.66,R/S Ward,Maharashtra,1,7/7/2022,7/7/2022,high,Kandivali West,place/suburb,in Kandivali West,2022,4/13/2022,in Kandivali West
in Mahim West,Mumbai,south,under_construction,Asalpha,yes,Bandra Kurla Complex,3.66,blue,8.09,yes,no,False,Shitala Devi Mandir,0.59,3-6km,7.0,Mahim Junction,0.21,5.92,65.0,72.0,9.0,19.0389719,72.8475766,11.21,G/N Ward,Maharashtra,1,4/28/2022,4/28/2022,low,Mahim Railway FOB,highway/construction,in Mahim West,2022,4/13/2022,in Mahim West
in Matunga West,Mumbai,south,under_construction,Asalpha,yes,Lower Parel Business District,3.48,blue,9.0,yes,no,False,Shitala Devi Mandir,0.76,3-6km,6.0,Matunga Road,0.56,6.81,84.0,82.0,11.0,19.0317259,72.8433917,10.37,G/N Ward,Maharashtra,1,7/7/2022,7/7/2022,high,Matunga West,place/suburb,in Matunga West,2022,4/13/2022,in Matunga West
in Mira Road,Mumbai,north,none,Kandarpada,no,Mindspace Malad,10.97,yellow,2.85,no,no,True,Kashigaon,2.58,6km+,0.0,Mira Road,0.0,21.31,8.0,40.0,5.0,19.2816975,72.8560676,38.19,Mira,Maharashtra,1,5/31/2022,5/31/2022,medium,Mira Road,railway/station,in Mira Road,2022,4/13/2022,in Mira Road
in Santacruz East,Mumbai,west,under_construction,Western Express Highway,yes,Bandra Kurla Complex,3.55,blue,4.04,yes,no,False,Santacruz,1.18,3-6km,10.0,Santa Cruz,0.57,2.77,22.0,60.0,9.0,19.0844004,72.8372899,16.19,H/W Ward,Maharashtra,1,7/7/2022,7/7/2022,high,Santacruz West,place/suburb,in Santacruz East,2022,4/13/2022,in Santacruz East
in Sion,Mumbai,south,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,2.7,blue,6.63,yes,no,False,Dharavi,1.69,0-3km,6.0,Sion,0.47,5.27,35.0,42.0,3.0,19.0428153,72.8653563,11.99,F/N Ward,Maharashtra,1,6/21/2022,6/21/2022,high,Sion East,place/suburb,in Sion,2022,4/13/2022,in Sion
Worli Naka Acharaya Atre Chowk,Mumbai,south,under_construction,Asalpha,yes,Lower Parel Business District,1.18,blue,13.48,yes,no,False,Acharya Atre Chowk,0.31,0-3km,2.0,Lower Parel,1.03,11.21,32.0,24.0,6.0,18.9975609,72.820681,6.71,G/S Ward,Maharashtra,1,6/8/2022,6/8/2022,medium,Indiabulls Blu,landuse/residential,Indiabulls Blu,2022,4/13/2022,"Indiabulls Blu, Worli Naka Acharaya Atre Chowk"
Irla,Mumbai,west,operational,Andheri L1,yes,SEEPZ Andheri East,2.29,blue,2.35,yes,yes,True,CSMI Airport Domestic T1,1.87,0-3km,14.0,Vile Parle,0.67,2.93,39.0,87.0,12.0,19.1020313,72.8380464,18.15,K/W Ward,Maharashtra,2,6/23/2022,7/4/2022,low,Irla Nala,waterway/stream,Irla,2022,4/13/2022,Irla
Vile Parle West,Mumbai,west,operational,Andheri L1,yes,SEEPZ Andheri East,1.4,blue,1.49,yes,yes,True,Gundavali,1.4,0-3km,14.0,Vile Parle,0.91,2.84,42.0,90.0,8.0,19.1080937,72.8436845,18.84,K/W Ward,Maharashtra,1,6/2/2022,6/2/2022,high,Irla Gaon,place/neighbourhood,Irla Vile Parle West,2022,4/13/2022,"Irla, Vile Parle West"
Jacob Circle,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,2.22,blue,14.23,yes,no,False,Mahalaxmi,0.52,0-3km,2.0,Sant Gadge Maharaj Chowk,0.0,12.44,44.0,46.0,9.0,18.9830921,72.8285867,4.98,G/S Ward,Maharashtra,1,7/9/2022,7/9/2022,medium,Sant Gadge Maharaj Chowk,railway/station,Jacob Circle,2022,4/13/2022,Jacob Circle
Jankalyan Nagar,Mumbai,east,operational,Chakala - J.B. Nagar,yes,MIDC Andheri East,1.35,blue,0.58,yes,yes,True,Sahar Road,0.56,0-3km,16.0,Vile Parle,2.55,1.91,16.0,32.0,2.0,19.1068579,72.8671624,18.98,K/E Ward,Maharashtra,1,7/7/2022,7/7/2022,low,Jankalyan Sahkari Bank Ltd,amenity/bank,Jankalyan Nagar,2022,4/13/2022,Jankalyan Nagar
JB Nagar,Mumbai,east,operational,Chakala - J.B. Nagar,yes,MIDC Andheri East,0.86,blue,0.0,yes,yes,True,Chakala - J.B. Nagar,0.0,0-3km,19.0,Andheri,2.38,2.48,16.0,46.0,3.0,19.112036,72.8676217,19.56,K/E Ward,Maharashtra,1,5/26/2022,5/26/2022,medium,Chakala - J.B. Nagar,railway/station,JB Nagar,2022,4/13/2022,JB Nagar
JL Tambe Nagar,Mumbai,south,under_construction,Chakala - J.B. Nagar,yes,Bandra Kurla Complex,2.03,blue,6.18,yes,no,False,Bandra Kurla Complex (BKC),0.7,0-3km,7.0,Bandra Terminus,0.79,3.74,32.0,52.0,8.0,19.0596098,72.8481016,13.5,H/E Ward,Maharashtra,1,5/8/2022,5/8/2022,low,Bhai Dhondu Tambe Marg,highway/residential,JL Tambe Nagar,2022,4/13/2022,JL Tambe Nagar
Juhu,Mumbai,west,operational,D. N. Nagar,yes,SEEPZ Andheri East,2.97,blue,2.38,yes,yes,True,D. N. Nagar,2.38,0-3km,12.0,Vile Parle,1.9,4.16,21.0,41.0,6.0,19.1070215,72.8275275,18.72,K/W Ward,Maharashtra,4,5/28/2022,6/30/2022,high,Juhu,place/suburb,Juhu,2022,4/13/2022,Juhu
Juhu Tara,Mumbai,west,under_construction,Andheri L1,yes,SEEPZ Andheri East,4.11,blue,4.18,yes,no,False,Santacruz,2.34,3-6km,6.0,Santa Cruz,1.72,3.74,25.0,37.0,8.0,19.0889608,72.8273652,16.72,K/W Ward,Maharashtra,1,7/9/2022,7/9/2022,low,Juhu Tara Road,highway/secondary,Juhu Tara,2022,4/13/2022,Juhu Tara
Juhu Versova Link Road,Mumbai,west,operational,D. N. Nagar,yes,SEEPZ Andheri East,3.07,blue,0.85,yes,yes,True,D. N. Nagar,0.85,3-6km,12.0,Andheri,2.19,5.27,27.0,70.0,13.0,19.1219328,72.8257301,20.39,K/W Ward,Maharashtra,1,7/6/2022,7/6/2022,medium,Juhu Versova Link Road,highway/bus_stop,Juhu Versova Link Road,2022,4/13/2022,Juhu Versova Link Road
Mazgaon,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,3.85,blue,14.81,yes,no,False,Mahalaxmi,1.93,3-6km,1.0,Dockyard Road,0.48,13.59,24.0,37.0,4.0,18.9697337,72.8406201,3.48,E Ward,Maharashtra,1,5/28/2022,5/28/2022,high,Mazgaon,place/suburb,Mazgaon,2022,4/13/2022,"Juveria Apartment, Mazgaon"
JVPD Scheme,Mumbai,west,operational,D. N. Nagar,yes,SEEPZ Andheri East,2.55,blue,1.9,yes,yes,True,D. N. Nagar,1.9,0-3km,12.0,Vile Parle,1.9,4.14,33.0,73.0,9.0,19.1111705,72.8304076,19.17,K/W Ward,Maharashtra,7,4/13/2022,7/9/2022,high,JVPD Scheme,place/neighbourhood,JVPD Scheme,2022,4/13/2022,JVPD Scheme
Kalina,Mumbai,south,under_construction,Airport Road,yes,Bandra Kurla Complex,1.43,blue,3.69,yes,no,False,Santacruz,1.49,0-3km,16.0,Santa Cruz,2.07,1.22,14.0,26.0,3.0,19.079273,72.8612672,15.85,H/E Ward,Maharashtra,1,6/2/2022,6/2/2022,high,Kalina,place/suburb,Kalina,2022,4/13/2022,"Kabra Centroid, Kalina"
Santacruz East,Mumbai,unknown,unknown,unknown,unknown,unknown,,unknown,,unknown,unknown,,unknown,,unknown,,unknown,,,,,,,,,,,1,6/25/2022,6/25/2022,none,,,,2022,4/13/2022,"Kabra Centroid, Santacruz East"
Akurli Nagar,Mumbai,north,operational,Akurli,yes,Mindspace Malad,2.69,red,0.42,yes,yes,True,Akurli,0.42,0-3km,1.0,Kandivali,0.8,12.39,20.0,79.0,10.0,19.2015406,72.8588123,29.32,R/S Ward,Maharashtra,1,7/9/2022,7/9/2022,low,Akurli Road,highway/tertiary,Akurli Nagar,2022,4/13/2022,"Kalpataru Towers, Akurli Nagar"
Kamla Nagar,Mumbai,north,operational,Dahanukarwadi,yes,Mindspace Malad,2.34,yellow,0.88,yes,yes,True,Dahanukarwadi,0.88,0-3km,1.0,Kandivali,0.91,12.94,25.0,97.0,8.0,19.2050008,72.8431141,29.61,R/S Ward,Maharashtra,1,5/23/2022,5/23/2022,low,Kamla Nagar,building/apartments,Kamla Nagar,2022,4/13/2022,Kamla Nagar
Sai Nagar,Mumbai,east,none,Saki Naka,yes,Hiranandani Business Park Powai,4.63,blue,6.43,no,no,True,Aarey JVLR,4.81,3-6km,5.0,Bhandup,1.44,9.29,38.0,35.0,3.0,19.1490182,72.9257057,25.23,S Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Sai Nagar,place/neighbourhood,Sai Nagar,2022,4/13/2022,"Kanakia Hollywood, Sai Nagar"
Malad East,Mumbai,north,operational,Kurar,yes,Mindspace Malad,1.6,red,0.27,yes,yes,True,Kurar,0.27,0-3km,3.0,Malad,0.82,10.68,19.0,95.0,8.0,19.1860219,72.8563181,27.58,P/N Ward,Maharashtra,2,7/6/2022,7/6/2022,high,Malad East,place/suburb,Malad East,2022,4/13/2022,"Kanakia Levels, Malad East"
Marol Maroshi Road,Mumbai,east,operational,Marol Naka L1,yes,MIDC Andheri East,1.52,blue,0.56,yes,yes,True,Marol Naka L1,0.56,0-3km,20.0,Vidyavihar,3.49,3.08,11.0,42.0,11.0,19.1086855,72.8847413,19.59,K/E Ward,Maharashtra,1,5/19/2022,5/19/2022,medium,Kanakia Sevens,landuse/residential,Kanakia Sevens,2022,4/13/2022,"Kanakia Sevens, Marol Maroshi Road"
Kanjurmarg East,Mumbai,east,none,Jagruti Nagar,yes,Godrej One Vikhroli,2.37,blue,5.21,no,no,True,Jagruti Nagar,5.21,0-3km,6.0,Kanjur Marg,1.23,8.81,11.0,17.0,4.0,19.1240536,72.9386742,23.28,S Ward,Maharashtra,3,4/29/2022,6/16/2022,low,Kanjurmarg Bypass Road,highway/trunk,Kanjurmarg East,2022,4/13/2022,Kanjurmarg East
Kanjurmarg West,Mumbai,east,none,Jagruti Nagar,yes,Godrej One Vikhroli,3.04,blue,5.14,no,no,True,Aarey JVLR,4.52,3-6km,6.0,Kanjur Marg,0.39,8.22,42.0,45.0,13.0,19.1321171,72.9273332,23.57,S Ward,Maharashtra,1,7/9/2022,7/9/2022,medium,Dockyard kanjurmarg St,highway/bus_stop,Kanjurmarg West,2022,4/13/2022,Kanjurmarg West
Ketki Pada,Mumbai,north,under_construction,Aarey,yes,Nirlon Knowledge Park,1.77,red,2.88,yes,no,False,Jogeshwari (East),1.16,0-3km,15.0,Jogeshwari (Harbour Line),1.79,6.04,8.0,37.0,2.0,19.144403,72.8661454,23.09,P/S Ward,Maharashtra,1,5/2/2022,5/2/2022,high,Ketli Pada,place/neighbourhood,Ketki Pada,2022,4/13/2022,Ketki Pada
Khar,Mumbai,west,under_construction,Western Express Highway,yes,Bandra Kurla Complex,3.42,blue,5.38,yes,no,False,Santacruz,1.6,3-6km,7.0,Khar Road,0.81,3.65,44.0,71.0,11.0,19.0724575,72.8337068,14.86,H/W Ward,Maharashtra,1,5/18/2022,5/18/2022,high,Khar,place/suburb,Khar,2022,4/13/2022,Khar
Kings Circle,Mumbai,south,under_construction,Ghatkopar L1,yes,Bandra Kurla Complex,4.03,blue,8.09,yes,no,False,Shitala Devi Mandir,1.82,3-6km,7.0,King's Circle,0.0,6.52,77.0,75.0,7.0,19.0316822,72.8577375,10.59,F/N Ward,Maharashtra,1,5/14/2022,5/14/2022,medium,King's Circle,railway/station,Kings Circle,2022,4/13/2022,Kings Circle
Holly Cross Church Chowk,Mumbai,east,operational,Asalpha,yes,Bandra Kurla Complex,2.32,blue,2.35,yes,yes,True,Asalpha,2.35,0-3km,12.0,Lokmanya Tilak Terminus,1.17,2.7,19.0,32.0,14.0,19.0775039,72.8848272,16.28,L Ward,Maharashtra,1,6/27/2022,6/27/2022,low,Kohinoor City Phase 2,building/apartments,Kohinoor City Phase II,2022,4/13/2022,"Kohinoor City Phase II, Holly Cross Church Chowk"
New Airport Colony,Mumbai,south,operational,Western Express Highway,yes,SEEPZ Andheri East,1.23,blue,1.22,yes,yes,True,Sahar Road,1.03,0-3km,16.0,Vile Parle,1.37,1.8,29.0,76.0,5.0,19.1049416,72.8558663,18.6,K/E Ward,Maharashtra,1,7/9/2022,7/9/2022,medium,New Airport Colony,landuse/residential,New Airport Colony,2022,4/13/2022,"Kolte Patil Jai Vijay, New Airport Colony"
Kurla,Mumbai,south,under_construction,Asalpha,yes,Bandra Kurla Complex,1.45,blue,3.83,yes,no,False,Chembur,1.88,0-3km,9.0,Kurla,0.0,3.26,15.0,55.0,7.0,19.0652797,72.8793805,14.8,L Ward,Maharashtra,1,6/27/2022,6/27/2022,medium,Kurla,railway/station,Kurla,2022,4/13/2022,Kurla
Lal Baug,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,1.65,blue,12.45,yes,no,False,Science Centre,2.23,0-3km,2.0,Mint Colony,0.14,10.96,25.0,38.0,5.0,18.9935288,72.8424069,6.13,Parel,Maharashtra,2,6/3/2022,6/20/2022,high,Lal Baug,place/suburb,Lal Baug,2022,4/13/2022,Lal Baug
Lodha Ajuro tower lalbag,Mumbai,unknown,unknown,unknown,unknown,unknown,,unknown,,unknown,unknown,,unknown,,unknown,,unknown,,,,,,,,,,,1,5/18/2022,5/18/2022,none,,,,2022,4/13/2022,Lodha Ajuro tower lalbag
Jogeshwari West,Mumbai,west,operational,Andheri (West),yes,Nirlon Knowledge Park,2.65,yellow,1.02,yes,yes,True,Lower Oshiwara,0.76,0-3km,14.0,Jogeshwari (Western Line),1.21,5.8,40.0,82.0,22.0,19.136394,72.8373817,21.97,K/W Ward,Maharashtra,1,6/28/2022,6/28/2022,high,Jogeshwari West,place/suburb,Jogeshwari West,2022,4/13/2022,"Lodha Bel Air, Jogeshwari West"
Mahalakshmi,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,1.96,blue,14.35,yes,no,False,Science Centre,0.34,0-3km,2.0,Mahalaxmi,0.95,12.15,31.0,32.0,9.0,18.9892129,72.8186798,5.87,G/S Ward,Maharashtra,2,7/6/2022,7/9/2022,high,Mahalakshmi,place/suburb,Mahalakshmi,2022,4/13/2022,"Lodha Bellissimo, Mahalakshmi"
Lodha casa rio,Mumbai,east,none,Ghatkopar L1,no,Millennium Business Park Mahape,7.75,blue,19.17,no,no,True,Sector-34,8.87,6km+,0.0,Nilaje,0.43,23.5,2.0,5.0,2.0,19.1532753,73.0764248,34.79,Nilaje,Maharashtra,1,5/26/2022,5/26/2022,low,Lodha Casa Rio Gold Road,highway/residential,Lodha casa rio,2022,4/13/2022,Lodha casa rio
Worli Hill,Mumbai,south,under_construction,Western Express Highway,yes,Lower Parel Business District,1.88,blue,13.91,yes,no,False,Acharya Atre Chowk,0.45,0-3km,2.0,Lower Parel,1.78,11.54,19.0,14.0,6.0,18.9975217,72.8134128,6.93,G/S Ward,Maharashtra,2,6/23/2022,7/9/2022,low,Worli Hill Road,highway/residential,Worli Hill,2022,4/13/2022,"Lodha Kiara, Worli Hill"
Worli Sea Face,Mumbai,south,under_construction,Western Express Highway,yes,Lower Parel Business District,1.74,blue,12.53,yes,no,False,Worli,0.42,0-3km,4.0,Prabhadevi,2.16,10.2,24.0,17.0,6.0,19.0100374,72.8155708,8.19,G/S Ward,Maharashtra,1,7/7/2022,7/7/2022,low,Khan Abdul Gaffar Khan Marg,highway/primary,Worli Sea Face,2022,4/13/2022,"Lodha Marquise, Worli Sea Face"
Mahajan Wadi,Mumbai,east,none,Aarey,yes,Wagle Estate Thane,2.97,red,10.08,no,no,True,Azad Nagar Bus Stop,8.15,0-3km,8.0,Mulund,0.21,13.27,40.0,85.0,19.0,19.172087,72.9547352,28.81,T Ward,Maharashtra,1,7/7/2022,7/7/2022,low,Mahajan Wadi,amenity/community_centre,Mahajan Wadi,2022,4/13/2022,Mahajan Wadi
Mahatama Gandhi Road,Mumbai,east,none,Poisar,yes,Wagle Estate Thane,2.4,red,11.07,no,no,True,Azad Nagar Bus Stop,6.71,0-3km,13.0,Thane,1.11,14.92,36.0,125.0,13.0,19.1823519,72.9661409,30.37,Kopri,Maharashtra,1,4/27/2022,4/27/2022,low,Mahatama Gandhi Road,highway/secondary,Mahatama Gandhi Road,2022,4/13/2022,Mahatama Gandhi Road
Mahim,Mumbai,south,under_construction,Chakala - J.B. Nagar,yes,Bandra Kurla Complex,3.87,blue,8.28,yes,no,False,Shitala Devi Mandir,0.48,3-6km,6.0,Mahim Junction,0.73,5.85,45.0,55.0,8.0,19.0423145,72.8398344,11.52,G/N Ward,Maharashtra,2,7/6/2022,7/6/2022,high,Mahim,place/suburb,Mahim,2022,4/13/2022,Mahim
Mahim West,Mumbai,south,under_construction,Asalpha,yes,Bandra Kurla Complex,3.66,blue,8.09,yes,no,False,Shitala Devi Mandir,0.59,3-6km,7.0,Mahim Junction,0.21,5.92,65.0,72.0,9.0,19.0389719,72.8475766,11.21,G/N Ward,Maharashtra,4,6/5/2022,7/9/2022,low,Mahim Railway FOB,highway/construction,Mahim West,2022,4/13/2022,Mahim West
Malabar Hill,Mumbai,south,under_construction,Ghatkopar L1,yes,Nariman Point CBD,4.06,blue,18.04,yes,no,False,Grant Road,1.64,3-6km,0.0,Grant Road,1.43,15.96,35.0,50.0,2.0,18.9581616,72.8033665,4.0,D Ward,Maharashtra,3,5/14/2022,6/22/2022,high,Malabar Hill,place/suburb,Malabar Hill,2022,4/13/2022,Malabar Hill
Mamletdarwadi,Mumbai,north,operational,Kurar,yes,Mindspace Malad,0.58,red,1.54,yes,yes,True,Malad (West),0.92,0-3km,3.0,Malad,0.53,11.13,26.0,107.0,10.0,19.188589,72.8438991,27.79,P/N Ward,Maharashtra,1,5/29/2022,5/29/2022,low,Mamlatdar Wadi,amenity/townhall,Mamletdarwadi,2022,4/13/2022,Mamletdarwadi
Kashimira,Mumbai,north,under_construction,Anand Nagar,no,Wagle Estate Thane,11.07,yellow,2.77,yes,no,False,Kashigaon,0.48,6km+,0.0,Mira Road,3.03,20.73,4.0,11.0,6.0,19.2755399,72.8841851,37.79,Mira-Bhayander,Maharashtra,1,6/14/2022,6/14/2022,high,Kashimira,place/suburb,Kashimira,2022,4/13/2022,"Man Opus, Kashimira"
Morya Nagar,Mumbai,east,none,Anand Nagar,no,Wagle Estate Thane,6.98,yellow,9.52,no,no,True,Azad Nagar Bus Stop,3.37,6km+,2.0,Kharbhav,5.05,21.42,8.0,12.0,5.0,19.2610829,72.9569184,38.04,Anand Nagar,Maharashtra,1,6/20/2022,6/20/2022,medium,KIPL Morya,landuse/residential,Morya Nagar,2022,4/13/2022,"Manibhadra Avenue, Morya Nagar"
Marine Lines,Mumbai,south,under_construction,Ghatkopar L1,yes,Nariman Point CBD,2.08,blue,18.01,yes,no,False,Kalbadevi,0.37,0-3km,0.0,Marine Lines,0.0,16.58,34.0,52.0,10.0,18.945764,72.8237193,1.45,C Ward,Maharashtra,1,6/30/2022,6/30/2022,medium,Marine Lines,railway/station,Marine Palace Marine Lines,2022,4/13/2022,"Marine Palace, Marine Lines"
Matunga East,Mumbai,south,under_construction,Ghatkopar L1,yes,Lower Parel Business District,3.45,blue,8.94,yes,no,False,Dadar,1.38,3-6km,5.0,Matunga,0.25,7.21,85.0,93.0,8.0,19.0261579,72.8520846,9.87,F/N Ward,Maharashtra,1,7/6/2022,7/6/2022,high,Matunga East,place/suburb,Matunga East,2022,4/13/2022,Matunga East
Park Site Colony,Mumbai,east,operational,Jagruti Nagar,yes,Hiranandani Business Park Powai,1.21,blue,1.66,yes,yes,True,Jagruti Nagar,1.66,0-3km,11.0,Vikhroli,1.8,5.56,12.0,48.0,11.0,19.1016318,72.9144376,19.92,N Ward,Maharashtra,1,6/15/2022,6/15/2022,high,Park Site Colony,place/neighbourhood,Park Site Colony,2022,4/13/2022,"Mayfair Sonata Greens, Park Site Colony"
Mehboob Studio,Mumbai,south,under_construction,Western Express Highway,yes,Bandra Kurla Complex,4.66,blue,7.78,yes,no,False,Shitala Devi Mandir,2.48,3-6km,5.0,Bandra,1.72,5.82,29.0,32.0,4.0,19.0529554,72.8240232,12.75,Bandra West,Maharashtra,1,6/28/2022,6/28/2022,medium,Hill Road Garden,highway/bus_stop,Mehboob Studio,2022,4/13/2022,Mehboob Studio
Nandiadwala Colony,Mumbai,east,under_construction,Ghatkopar L1,yes,Belapur CBD,4.85,blue,17.88,yes,no,False,Khargar Village,0.59,3-6km,0.0,Kharghar,2.9,22.59,15.0,27.0,4.0,19.0483228,73.0732714,27.82,Kharghar,Maharashtra,3,7/7/2022,7/7/2022,medium,"Jal Vayu Bihar Defense Enclave CHS, Phase 2",landuse/residential,Midas Enclave CHS,2022,4/13/2022,"Midas Enclave CHS , Nandiadwala Colony"
PMGP Colony,Mumbai,south,under_construction,Asalpha,yes,Bandra Kurla Complex,1.9,blue,6.21,yes,no,False,Dharavi,1.29,0-3km,8.0,Sion,0.5,4.41,29.0,50.0,4.0,19.0505605,72.8611572,12.72,Dharavi,Maharashtra,1,6/2/2022,6/2/2022,high,PMGP Colony,place/neighbourhood,PMGP Colony,2022,4/13/2022,"Midas PMGP Mhada Colony, PMGP Colony"
Mira Bhayandar,Mumbai,north,operational,Anand Nagar,no,Mindspace Malad,10.74,yellow,2.4,yes,yes,True,Miragaon,0.26,6km+,0.0,Mira Road,3.0,20.36,4.0,12.0,6.0,19.2722556,72.8828004,37.41,Kashimira,Maharashtra,1,7/7/2022,7/7/2022,low,Mira Bhayandar Road,highway/primary,Mira Bhayandar,2022,4/13/2022,Mira Bhayandar
Model Town,Mumbai,east,operational,Western Express Highway,yes,MIDC Andheri East,1.83,blue,2.34,yes,yes,True,SEEPZ,0.95,0-3km,17.0,Jogeshwari (Western Line),2.13,4.84,13.0,45.0,2.0,19.1332555,72.8690288,21.91,K/E Ward,Maharashtra,1,5/21/2022,5/21/2022,high,Model Town,place/neighbourhood,Model Town,2022,4/13/2022,Model Town
Moti Nagar,Mumbai,west,operational,Andheri (West),yes,Nirlon Knowledge Park,1.77,yellow,2.27,yes,yes,True,Oshiwara,0.5,0-3km,12.0,Ram Mandir,1.32,7.01,22.0,57.0,15.0,19.148587,72.8378546,23.33,K/W Ward,Maharashtra,1,7/9/2022,7/9/2022,high,Motilal Nagar I,place/neighbourhood,Moti Nagar,2022,4/13/2022,"Montana Giona, Moti Nagar"
Mount Mary,Mumbai,south,under_construction,Western Express Highway,yes,Bandra Kurla Complex,4.95,blue,8.25,yes,no,False,Shitala Devi Mandir,2.32,3-6km,5.0,Bandra,1.96,6.24,25.0,26.0,4.0,19.0488129,72.8227516,12.3,Bandra West,Maharashtra,1,7/9/2022,7/9/2022,high,Mount Mary,place/neighbourhood,Mount Marry Mount Mary,2022,4/13/2022,"Mount Marry, Mount Mary"
Mukund Nagar,Mumbai,east,operational,Airport Road,yes,MIDC Andheri East,0.7,blue,0.22,yes,yes,True,Airport Road,0.22,0-3km,21.0,Andheri,2.88,2.54,10.0,36.0,5.0,19.111165,72.8723456,19.56,K/E Ward,Maharashtra,1,6/28/2022,6/28/2022,medium,Mukund Nagar CHS Ltd,landuse/residential,Mukund Nagar,2022,4/13/2022,Mukund Nagar
Mulund East,Mumbai,east,none,Jagruti Nagar,yes,Wagle Estate Thane,3.29,blue,10.66,no,no,True,Azad Nagar Bus Stop,8.12,3-6km,13.0,Mulund,0.49,13.64,34.0,80.0,14.0,19.1704719,72.9610447,28.95,T Ward,Maharashtra,3,5/27/2022,7/7/2022,high,Mulund East,place/suburb,Mulund East,2022,4/13/2022,Mulund East
Mulund Railway Station,Mumbai,east,none,Aarey,yes,Wagle Estate Thane,2.83,red,10.35,no,no,True,Azad Nagar Bus Stop,7.89,0-3km,11.0,Mulund,0.19,13.58,41.0,102.0,16.0,19.1737498,72.957208,29.09,T Ward,Maharashtra,1,5/19/2022,5/19/2022,medium,Mulund Railway Station (W),highway/bus_stop,Mulund Railway Station,2022,4/13/2022,Mulund Railway Station
Mulund West,Mumbai,east,none,Aarey,yes,Wagle Estate Thane,2.95,red,9.71,no,no,True,Azad Nagar Bus Stop,8.29,0-3km,5.0,Mulund,0.58,12.99,43.0,86.0,17.0,19.1719717,72.9511956,28.64,T Ward,Maharashtra,7,4/29/2022,6/16/2022,high,Mulund West,place/suburb,Mulund West,2022,4/13/2022,Mulund West
Nahur Gaothan,Mumbai,unknown,unknown,unknown,unknown,unknown,,unknown,,unknown,unknown,,unknown,,unknown,,unknown,,,,,,,,,,,1,6/16/2022,6/16/2022,none,,,,2022,4/13/2022,Nahur Gaothan
Naigaon East,Mumbai,north,none,Anand Nagar,no,Mindspace Malad,20.49,yellow,12.27,no,no,True,Kashigaon,10.19,6km+,0.0,Juichandra,1.48,30.83,1.0,1.0,0.0,19.3673834,72.8603139,47.73,Sukalapada,Maharashtra,1,4/28/2022,4/28/2022,low,Naigaon East Vasai Link Road,highway/tertiary,Naigaon East,2022,4/13/2022,Naigaon East
Nalasopara West,Mumbai,north,none,Kandarpada,no,Mindspace Malad,26.39,yellow,18.54,no,no,True,Kashigaon,17.22,6km+,0.0,Nalla Sopara,0.37,37.03,4.0,41.0,6.0,19.4201889,72.8160122,53.57,Nallasopara West,Maharashtra,2,5/31/2022,6/2/2022,low,Nalasopara Flyover,highway/secondary,Nalasopara West,2022,4/13/2022,Nalasopara West
Nerul sector-3,Mumbai,east,none,Ghatkopar L1,yes,Belapur CBD,3.54,blue,12.16,no,no,True,CBD Belapur,3.57,3-6km,1.0,Nerul,0.94,16.61,29.0,22.0,7.0,19.0334948,73.0091701,21.09,Nerul West,Maharashtra,1,6/11/2022,6/11/2022,low,,building/apartments,Nerul sector-3,2022,4/13/2022,Nerul sector-3
New Devchhaya Building,Mumbai,south,under_construction,Chakala - J.B. Nagar,yes,Bandra Kurla Complex,1.17,blue,4.6,yes,no,False,Bandra Colony,0.74,0-3km,13.0,Khar Road,1.73,2.13,26.0,40.0,7.0,19.0721792,72.8559679,14.99,H/E Ward,Maharashtra,1,5/26/2022,5/26/2022,low,New Library Building,amenity/library,New Devchhaya Building,2022,4/13/2022,New Devchhaya Building
new panvel,Mumbai,east,none,Ghatkopar L1,no,Belapur CBD,9.18,blue,24.69,no,no,True,Khargar Village,7.14,6km+,0.0,Panvel (Suburban),1.0,29.24,8.0,57.0,3.0,18.9993761,73.1239899,31.09,Panvel,Maharashtra,1,5/6/2022,5/6/2022,high,New Panvel,place/suburb,new panvel,2022,4/13/2022,new panvel
